"","method1","method2","out_id_x","out_id_y","neg_limit_rg","limit_rg","res","var_est","X_CHARACTER"
"1",0.2,0.2,NA,NA,-0.59077137,0.59077137,-0.07071068,0.0224243,NA
"2",0.2,0.2,NA,NA,-0.59077137,0.59077137,-0.07071068,0.0224243,NA
"3",0.2,0.2,NA,NA,-0.59077137,0.59077137,-0.07071068,0.0224243,NA
"4",0.2,0.3,NA,NA,-0.59162811,0.59162811,0,0.02248934,NA
"5",0.3,0.2,NA,NA,-0.59162811,0.59162811,-0.14142136,0.02248934,NA
"6",0.3,0.2,NA,NA,-0.59162811,0.59162811,-0.14142136,0.02248934,NA
"7",0.2,0.3,NA,NA,-0.59162811,0.59162811,0,0.02248934,NA
"8",0.2,0.3,NA,NA,-0.59162811,0.59162811,0,0.02248934,NA
"9",0.3,0.2,NA,NA,-0.59162811,0.59162811,-0.14142136,0.02248934,NA
"10",0.2,0.3,NA,NA,-0.59162811,0.59162811,0,0.02248934,NA
"11",0.3,0.2,NA,NA,-0.59162811,0.59162811,-0.14142136,0.02248934,NA
"12",0.3,0.3,NA,NA,-0.59263644,0.59263644,-0.07071068,0.02256607,NA
"13",0.3,0.3,NA,NA,-0.59263644,0.59263644,-0.07071068,0.02256607,NA
"14",0.3,0.3,NA,NA,-0.59263644,0.59263644,-0.07071068,0.02256607,NA
"15",0.3,0.3,NA,NA,-0.59263644,0.59263644,-0.07071068,0.02256607,NA
"16",0.3,0.3,NA,NA,-0.59263644,0.59263644,-0.07071068,0.02256607,NA
"17",0.3,0.3,NA,NA,-0.59263644,0.59263644,-0.07071068,0.02256607,NA
"18",0.3,0.3,NA,NA,-0.59263644,0.59263644,-0.07071068,0.02256607,NA
"19",0.3,0.3,NA,NA,-0.59263644,0.59263644,-0.07071068,0.02256607,NA
"20",0.3,0.3,NA,NA,-0.59263644,0.59263644,-0.07071068,0.02256607,NA
"21",0.3,0.4,NA,NA,-0.59379954,0.59379954,0,0.02265477,NA
"22",0.3,0.4,NA,NA,-0.59379954,0.59379954,0,0.02265477,NA
"23",0.4,0.3,NA,NA,-0.59379954,0.59379954,-0.14142136,0.02265477,NA
"24",0.3,0.4,NA,NA,-0.59379954,0.59379954,0,0.02265477,NA
"25",0.4,0.3,NA,NA,-0.59379954,0.59379954,-0.14142136,0.02265477,NA
"26",0.4,0.3,NA,NA,-0.59379954,0.59379954,-0.14142136,0.02265477,NA
"27",0.4,0.3,NA,NA,-0.59379954,0.59379954,-0.14142136,0.02265477,NA
"28",0.4,0.3,NA,NA,-0.59379954,0.59379954,-0.14142136,0.02265477,NA
"29",0.4,0.3,NA,NA,-0.59379954,0.59379954,-0.14142136,0.02265477,NA
"30",0.3,0.4,NA,NA,-0.59379954,0.59379954,0,0.02265477,NA
"31",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"32",0.6,0.2,NA,NA,-0.59511955,0.59511955,-0.35355339,0.02275565,NA
"33",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"34",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"35",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"36",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"37",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"38",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"39",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"40",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"41",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"42",0.2,0.6,NA,NA,-0.59511955,0.59511955,0.21213203,0.02275565,NA
"43",0.3,0.5,NA,NA,-0.59511955,0.59511955,0.07071068,0.02275565,NA
"44",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"45",0.5,0.3,NA,NA,-0.59511955,0.59511955,-0.21213203,0.02275565,NA
"46",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"47",0.4,0.4,NA,NA,-0.59511955,0.59511955,-0.07071068,0.02275565,NA
"48",0.4,0.5,NA,NA,-0.59659748,0.59659748,0,0.02286883,NA
"49",0.4,0.5,NA,NA,-0.59659748,0.59659748,0,0.02286883,NA
"50",0.4,0.5,NA,NA,-0.59659748,0.59659748,0,0.02286883,NA
"51",0.5,0.4,NA,NA,-0.59659748,0.59659748,-0.14142136,0.02286883,NA
"52",0.5,0.4,NA,NA,-0.59659748,0.59659748,-0.14142136,0.02286883,NA
"53",0.4,0.5,NA,NA,-0.59659748,0.59659748,0,0.02286883,NA
"54",0.4,0.5,NA,NA,-0.59659748,0.59659748,0,0.02286883,NA
"55",0.4,0.5,NA,NA,-0.59659748,0.59659748,0,0.02286883,NA
"56",0.4,0.5,NA,NA,-0.59659748,0.59659748,0,0.02286883,NA
"57",0.5,0.4,NA,NA,-0.59659748,0.59659748,-0.14142136,0.02286883,NA
"58",0.5,0.4,NA,NA,-0.59659748,0.59659748,-0.14142136,0.02286883,NA
"59",0.4,0.5,NA,NA,-0.59659748,0.59659748,0,0.02286883,NA
"60",0.4,0.5,NA,NA,-0.59659748,0.59659748,0,0.02286883,NA
"61",0.5,0.5,NA,NA,-0.59823311,0.59823311,-0.07071068,0.02299437,NA
"62",0.5,0.5,NA,NA,-0.59823311,0.59823311,-0.07071068,0.02299437,NA
"63",0.5,0.5,NA,NA,-0.59823311,0.59823311,-0.07071068,0.02299437,NA
"64",0.5,0.5,NA,NA,-0.59823311,0.59823311,-0.07071068,0.02299437,NA
"65",0.5,0.5,NA,NA,-0.59823311,0.59823311,-0.07071068,0.02299437,NA
"66",0.5,0.5,NA,NA,-0.59823311,0.59823311,-0.07071068,0.02299437,NA
"67",0.5,0.5,NA,NA,-0.59823311,0.59823311,-0.07071068,0.02299437,NA
"68",0.5,0.5,NA,NA,-0.59823311,0.59823311,-0.07071068,0.02299437,NA
"69",0.5,0.5,NA,NA,-0.59823311,0.59823311,-0.07071068,0.02299437,NA
"70",0.5,0.5,NA,NA,-0.59823311,0.59823311,-0.07071068,0.02299437,NA
"71",0.4,0.6,NA,NA,-0.59823311,0.59823311,0.07071068,0.02299437,NA
"72",0.5,0.5,NA,NA,-0.59823311,0.59823311,-0.07071068,0.02299437,NA
